iter	Passed	Remaining
0	5	2721
1	10	2556
2	14	2380
3	18	2290
4	22	2260
5	26	2222
6	31	2239
7	36	2238
8	40	2214
9	44	2196
10	48	2172
11	52	2154
12	57	2146
13	61	2129
14	65	2131
15	70	2121
16	74	2105
17	78	2104
18	83	2106
19	87	2097
20	92	2104
21	96	2100
22	100	2087
23	104	2074
24	108	2061
25	112	2059
26	116	2045
27	120	2035
28	125	2039
29	129	2026
30	133	2021
31	137	2013
32	141	2008
33	146	2001
34	149	1991
35	154	1987
36	158	1987
37	163	1983
38	167	1979
39	171	1972
40	176	1974
41	180	1970
42	184	1964
43	188	1957
44	193	1953
45	197	1946
46	201	1945
47	206	1941
48	210	1933
49	214	1928
50	218	1925
51	223	1927
52	228	1927
53	232	1919
54	237	1918
55	241	1913
56	245	1907
57	250	1907
58	256	1915
59	260	1911
60	264	1906
61	269	1906
62	273	1900
63	278	1896
64	282	1893
65	287	1889
66	292	1888
67	296	1885
68	301	1881
69	305	1875
70	309	1868
71	313	1862
72	318	1860
73	322	1856
74	327	1853
75	332	1856
76	337	1852
77	341	1847
78	346	1844
79	350	1841
80	354	1834
81	359	1834
82	364	1831
83	371	1837
84	375	1832
85	379	1828
86	383	1822
87	388	1817
88	393	1816
89	397	1810
90	401	1805
91	405	1800
92	410	1795
93	414	1790
94	419	1786
95	423	1782
96	428	1778
97	432	1773
98	436	1768
99	441	1765
100	445	1758
101	448	1751
102	454	1750
103	458	1745
104	463	1742
105	467	1737
106	471	1732
107	476	1728
108	480	1723
109	484	1718
110	489	1716
111	494	1711
112	498	1706
113	503	1704
114	507	1699
115	511	1693
116	515	1689
117	520	1683
118	524	1680
119	529	1675
120	533	1672
121	538	1668
122	542	1662
123	546	1657
124	551	1653
125	557	1653
126	561	1647
127	565	1643
128	569	1638
129	574	1634
130	578	1630
131	583	1627
132	588	1623
133	592	1618
134	596	1613
135	601	1608
136	605	1604
137	609	1599
138	613	1594
139	618	1591
140	623	1588
141	628	1583
142	632	1578
143	636	1572
144	641	1570
145	646	1567
146	651	1564
147	656	1560
148	660	1556
149	665	1551
150	669	1547
151	674	1543
152	677	1537
153	682	1533
154	688	1531
155	692	1527
156	696	1522
157	701	1518
158	706	1514
159	710	1509
160	714	1505
161	719	1501
162	723	1496
163	728	1493
164	733	1489
165	739	1487
166	744	1483
167	750	1482
168	755	1479
169	760	1475
170	765	1473
171	771	1470
172	776	1468
173	782	1466
174	788	1464
175	793	1461
176	799	1458
177	804	1455
178	809	1452
179	815	1448
180	820	1446
181	825	1442
182	831	1440
183	837	1438
184	847	1443
185	854	1442
186	860	1439
187	866	1438
188	871	1434
189	877	1430
190	882	1428
191	889	1426
192	894	1422
193	899	1419
194	905	1416
195	910	1412
196	916	1408
197	921	1405
198	926	1401
199	932	1398
200	937	1394
201	942	1390
202	949	1388
203	954	1385
204	959	1381
205	964	1377
206	970	1373
207	975	1369
208	983	1369
209	988	1365
210	994	1361
211	999	1357
212	1004	1353
213	1009	1349
214	1014	1345
215	1020	1342
216	1026	1338
217	1031	1334
218	1036	1329
219	1041	1325
220	1045	1320
221	1051	1316
222	1056	1312
223	1060	1307
224	1065	1302
225	1070	1297
226	1076	1294
227	1081	1290
228	1086	1286
229	1091	1281
230	1096	1276
231	1100	1271
232	1105	1266
233	1110	1262
234	1115	1257
235	1122	1255
236	1126	1250
237	1131	1245
238	1135	1240
239	1140	1235
240	1145	1230
241	1150	1227
242	1155	1222
243	1159	1216
244	1164	1212
245	1169	1207
246	1173	1202
247	1177	1196
248	1182	1191
249	1187	1187
250	1192	1182
251	1196	1177
252	1201	1173
253	1206	1168
254	1211	1163
255	1216	1159
256	1222	1155
257	1227	1151
258	1231	1146
259	1236	1141
260	1242	1137
261	1248	1133
262	1253	1129
263	1258	1124
264	1263	1120
265	1268	1115
266	1273	1111
267	1279	1107
268	1284	1103
269	1289	1098
270	1295	1094
271	1300	1089
272	1305	1085
273	1312	1082
274	1318	1078
275	1323	1074
276	1328	1069
277	1333	1064
278	1338	1060
279	1344	1056
280	1350	1052
281	1356	1048
282	1361	1043
283	1366	1039
284	1372	1035
285	1379	1031
286	1384	1027
287	1389	1022
288	1395	1018
289	1400	1014
290	1406	1010
291	1412	1006
292	1417	1001
293	1422	996
294	1428	992
295	1433	987
296	1438	983
297	1444	979
298	1449	974
299	1454	969
300	1460	965
301	1464	960
302	1470	955
303	1476	951
304	1481	947
305	1487	942
306	1492	938
307	1498	933
308	1504	929
309	1510	925
310	1515	921
311	1521	916
312	1526	912
313	1532	907
314	1537	903
315	1543	898
316	1549	894
317	1555	890
318	1560	885
319	1565	880
320	1571	876
321	1576	871
322	1581	866
323	1586	861
324	1592	857
325	1597	852
326	1602	847
327	1608	843
328	1613	838
329	1619	834
330	1623	829
331	1628	824
332	1634	819
333	1640	815
334	1645	810
335	1651	806
336	1656	801
337	1661	796
338	1667	791
339	1673	787
340	1679	782
341	1684	777
342	1689	773
343	1694	768
344	1699	763
345	1704	758
346	1709	753
347	1715	749
348	1720	744
349	1725	739
350	1730	734
351	1736	730
352	1742	725
353	1747	720
354	1753	716
355	1758	711
356	1762	706
357	1768	701
358	1774	696
359	1779	692
360	1784	686
361	1789	682
362	1794	677
363	1800	672
364	1805	667
365	1811	663
366	1815	657
367	1820	653
368	1825	648
369	1832	643
370	1838	639
371	1845	634
372	1850	630
373	1854	624
374	1859	619
375	1864	615
376	1869	610
377	1874	605
378	1879	600
379	1885	595
380	1890	590
381	1895	585
382	1901	580
383	1906	576
384	1912	571
385	1917	566
386	1922	561
387	1927	556
388	1932	551
389	1937	546
390	1943	541
391	1948	536
392	1953	531
393	1957	526
394	1963	521
395	1968	517
396	1974	512
397	1979	507
398	1983	502
399	1989	497
400	1994	492
401	2000	487
402	2005	482
403	2011	477
404	2017	473
405	2022	468
406	2026	463
407	2032	458
408	2038	453
409	2044	448
410	2050	443
411	2054	438
412	2059	433
413	2066	429
414	2071	424
415	2076	419
416	2081	414
417	2087	409
418	2092	404
419	2098	399
420	2104	394
421	2109	389
422	2114	384
423	2119	379
424	2124	374
425	2129	369
426	2135	365
427	2140	360
428	2144	354
429	2149	349
430	2154	344
431	2158	339
432	2163	334
433	2169	329
434	2174	324
435	2179	319
436	2185	315
437	2190	310
438	2195	305
439	2201	300
440	2206	295
441	2210	290
442	2215	285
443	2220	280
444	2224	274
445	2230	270
446	2235	265
447	2239	259
448	2244	254
449	2249	249
450	2253	244
451	2257	239
452	2261	234
453	2266	229
454	2270	224
455	2275	219
456	2280	214
457	2284	209
458	2289	204
459	2293	199
460	2299	194
461	2304	189
462	2308	184
463	2312	179
464	2317	174
465	2321	169
466	2326	164
