sl_pct,tp_pct,reward_risk,total_trades,wins,losses,win_rate,profit_factor,expectancy,premature_stops,premature_pct,total_profit,total_loss,net_profit
0.5,1.0,2.0,41895,7135,34760,0.17030671917889964,0.4105293440736479,-0.24453992123165055,20456,0.5884925201380897,7135.0,17380.0,-10245.0
0.5,1.5,3.0,41013,6253,34760,0.15246385292468242,0.5396720368239356,-0.19507229415063515,15349,0.4415707710011508,9379.5,17380.0,-8000.5
0.5,2.0,4.0,40136,5376,34760,0.1339445883994419,0.6186421173762946,-0.16513852900139525,11769,0.3385788262370541,10752.0,17380.0,-6628.0
0.5,2.5,5.0,39354,4594,34760,0.11673527468618183,0.6608170310701956,-0.1497941759414545,9015,0.25934982738780205,11485.0,17380.0,-5895.0
0.5,3.0,6.0,38527,3767,34760,0.0977755859527085,0.6502301495972382,-0.1577854491655203,6877,0.19784234752589183,11301.0,17380.0,-6079.0
0.5,4.0,8.0,37307,2547,34760,0.06827136998418527,0.5861910241657077,-0.19277883507116628,4183,0.12033947065592636,10188.0,17380.0,-7192.0
0.5,5.0,10.0,36497,1737,34760,0.04759295284543935,0.49971231300345226,-0.2382387593500836,2634,0.07577675489067894,8685.0,17380.0,-8695.0
0.5,6.0,12.0,35907,1147,34760,0.03194363216086,0.3959723820483314,-0.29236639095440997,1705,0.0490506329113924,6882.0,17380.0,-10498.0
0.5,7.0,14.0,35500,740,34760,0.020845070422535212,0.29804372842347526,-0.3436619718309859,1158,0.03331415420023015,5180.0,17380.0,-12200.0
0.5,8.0,16.0,35269,509,34760,0.014431937395446426,0.23429228998849252,-0.3773285321387054,815,0.02344649021864212,4072.0,17380.0,-13308.0
0.5,10.0,20.0,35037,277,34760,0.007905928018951394,0.15937859608745686,-0.41698775580101033,409,0.011766398158803221,2770.0,17380.0,-14610.0
0.5,12.0,24.0,34884,124,34760,0.00355463822956083,0.0856156501726122,-0.4555670221304896,210,0.0060414269275028765,1488.0,17380.0,-15892.0
0.5,15.0,30.0,34805,45,34760,0.00129291768424077,0.03883774453394707,-0.4799597758942681,98,0.002819332566168009,675.0,17380.0,-16705.0
